Algorithm,Parameters,Validation_MMD
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(4.583333333333333)}",0.48909
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(5.604166666666666)}",0.49234
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(6.625)}",0.49576
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(7.645833333333333)}",0.49925
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(8.666666666666666)}",0.50274
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(9.6875)}",0.50615
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(10.708333333333332)}",0.50946
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(11.729166666666666)}",0.51265
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(12.75)}",0.51570
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(13.770833333333332)}",0.51861
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(14.791666666666666)}",0.52137
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(15.812499999999998)}",0.52399
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(16.833333333333332)}",0.52646
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(17.854166666666664)}",0.52880
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(18.875)}",0.53100
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(19.895833333333332)}",0.53308
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(20.916666666666664)}",0.53505
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(21.9375)}",0.53691
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(22.958333333333332)}",0.53866
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(23.979166666666664)}",0.54032
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.002), 'nula_friction': np.float64(25.0)}",0.54189
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(0.5)}",0.43164
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(1.5208333333333333)}",0.39618
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(2.5416666666666665)}",0.38506
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(3.5625)}",0.38418
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(4.583333333333333)}",0.38811
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(5.604166666666666)}",0.39383
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(6.625)}",0.40042
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(7.645833333333333)}",0.40718
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(8.666666666666666)}",0.41362
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(9.6875)}",0.41968
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(10.708333333333332)}",0.42524
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(11.729166666666666)}",0.43041
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(12.75)}",0.43523
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(13.770833333333332)}",0.43975
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(14.791666666666666)}",0.44398
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(15.812499999999998)}",0.44798
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(16.833333333333332)}",0.45175
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(17.854166666666664)}",0.45533
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(18.875)}",0.45873
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(19.895833333333332)}",0.46198
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(20.916666666666664)}",0.46510
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(21.9375)}",0.46809
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(22.958333333333332)}",0.47097
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(23.979166666666664)}",0.47375
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0052499999999999995), 'nula_friction': np.float64(25.0)}",0.47642
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(0.5)}",0.42214
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(1.5208333333333333)}",0.36595
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(2.5416666666666665)}",0.34651
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(3.5625)}",0.34217
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(4.583333333333333)}",0.34408
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(5.604166666666666)}",0.34852
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(6.625)}",0.35455
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(7.645833333333333)}",0.36187
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(8.666666666666666)}",0.36941
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(9.6875)}",0.37637
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(10.708333333333332)}",0.38279
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(11.729166666666666)}",0.38870
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(12.75)}",0.39424
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0085), 'nula_friction': np.float64(13.770833333333332)}",0.39952
