Algorithm,Parameters,Validation_MMD
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(8.666666666666666)}",0.30620
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(9.6875)}",0.30613
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(10.708333333333332)}",0.30616
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(11.729166666666666)}",0.30760
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(12.75)}",0.30888
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(13.770833333333332)}",0.30950
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(14.791666666666666)}",0.30979
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(15.812499999999998)}",0.31045
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(16.833333333333332)}",0.31078
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(17.854166666666664)}",0.31188
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(18.875)}",0.31310
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(19.895833333333332)}",0.31405
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(20.916666666666664)}",0.31494
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(21.9375)}",0.31576
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(22.958333333333332)}",0.31666
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(23.979166666666664)}",0.31812
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.0735), 'nula_friction': np.float64(25.0)}",0.31936
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(0.5)}",0.74544
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(1.5208333333333333)}",0.55916
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(2.5416666666666665)}",0.36534
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(3.5625)}",0.34495
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(4.583333333333333)}",0.32643
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(5.604166666666666)}",0.32266
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(6.625)}",0.31051
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(7.645833333333333)}",0.30745
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(8.666666666666666)}",0.30660
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(9.6875)}",0.30630
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(10.708333333333332)}",0.30635
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(11.729166666666666)}",0.30722
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(12.75)}",0.30899
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(13.770833333333332)}",0.30950
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(14.791666666666666)}",0.30981
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(15.812499999999998)}",0.31010
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(16.833333333333332)}",0.31044
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(17.854166666666664)}",0.31097
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(18.875)}",0.31193
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(19.895833333333332)}",0.31333
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(20.916666666666664)}",0.31419
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(21.9375)}",0.31515
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(22.958333333333332)}",0.31587
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(23.979166666666664)}",0.31683
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.07675), 'nula_friction': np.float64(25.0)}",0.31804
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(0.5)}",0.75155
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(1.5208333333333333)}",0.52779
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(2.5416666666666665)}",0.40147
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(3.5625)}",0.34736
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(4.583333333333333)}",0.34578
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(5.604166666666666)}",0.32993
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(6.625)}",0.31444
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(7.645833333333333)}",0.30904
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(8.666666666666666)}",0.30678
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(9.6875)}",0.30702
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(10.708333333333332)}",0.30641
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(11.729166666666666)}",0.30669
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(12.75)}",0.30807
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(13.770833333333332)}",0.30886
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(14.791666666666666)}",0.30960
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(15.812499999999998)}",0.31010
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(16.833333333333332)}",0.31044
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(17.854166666666664)}",0.31061
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(18.875)}",0.31111
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(19.895833333333332)}",0.31235
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(20.916666666666664)}",0.31361
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(21.9375)}",0.31440
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(22.958333333333332)}",0.31524
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(23.979166666666664)}",0.31589
underdamped_pro,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'nula_step_size': np.float64(0.08), 'nula_friction': np.float64(25.0)}",0.31706
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.05), np.float64(0.1), np.float64(0.2))}",0.55068
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.08958333333333333), np.float64(0.17916666666666667), np.float64(0.35833333333333334))}",0.55492
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.12916666666666665), np.float64(0.2583333333333333), np.float64(0.5166666666666666))}",0.55743
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.16875), np.float64(0.3375), np.float64(0.675))}",0.55907
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.20833333333333331), np.float64(0.41666666666666663), np.float64(0.8333333333333333))}",0.56027
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.24791666666666667), np.float64(0.49583333333333335), np.float64(0.9916666666666667))}",0.56119
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.2875), np.float64(0.575), np.float64(1.15))}",0.56194
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.32708333333333334), np.float64(0.6541666666666667), np.float64(1.3083333333333333))}",0.56256
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.36666666666666664), np.float64(0.7333333333333333), np.float64(1.4666666666666666))}",0.56309
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.40624999999999994), np.float64(0.8124999999999999), np.float64(1.6249999999999998))}",0.56357
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.4458333333333333), np.float64(0.8916666666666666), np.float64(1.7833333333333332))}",0.56399
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.48541666666666666), np.float64(0.9708333333333333), np.float64(1.9416666666666667))}",0.56437
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.525), np.float64(1.05), np.float64(2.1))}",0.56472
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.5645833333333333), np.float64(1.1291666666666667), np.float64(2.2583333333333333))}",0.56503
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.6041666666666667), np.float64(1.2083333333333335), np.float64(2.416666666666667))}",0.56533
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.64375), np.float64(1.2875), np.float64(2.575))}",0.56560
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.6833333333333333), np.float64(1.3666666666666667), np.float64(2.7333333333333334))}",0.56585
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.7229166666666667), np.float64(1.4458333333333333), np.float64(2.8916666666666666))}",0.56609
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.7625), np.float64(1.525), np.float64(3.05))}",0.56631
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.8020833333333334), np.float64(1.6041666666666667), np.float64(3.2083333333333335))}",0.56652
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.8416666666666667), np.float64(1.6833333333333333), np.float64(3.3666666666666667))}",0.56671
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.88125), np.float64(1.7625), np.float64(3.525))}",0.56689
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.9208333333333334), np.float64(1.8416666666666668), np.float64(3.6833333333333336))}",0.56706
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(0.9604166666666667), np.float64(1.9208333333333334), np.float64(3.841666666666667))}",0.56723
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.001), 'vgd_lengthscales': (np.float64(1.0), np.float64(2.0), np.float64(4.0))}",0.56738
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.05), np.float64(0.1), np.float64(0.2))}",0.43534
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.08958333333333333), np.float64(0.17916666666666667), np.float64(0.35833333333333334))}",0.44861
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.12916666666666665), np.float64(0.2583333333333333), np.float64(0.5166666666666666))}",0.45965
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.16875), np.float64(0.3375), np.float64(0.675))}",0.46846
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.20833333333333331), np.float64(0.41666666666666663), np.float64(0.8333333333333333))}",0.47558
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.24791666666666667), np.float64(0.49583333333333335), np.float64(0.9916666666666667))}",0.48153
vgd,"{'gamma2': 0.7028282284736633, 'lambda_': 114.9304137293519, 'sigma2': 0.3909595012664795, 'p': 50, 'batch_size': 128, 'eval_every': 15, 'vgd_step_size': np.float64(0.004291666666666667), 'vgd_lengthscales': (np.float64(0.2875), np.float64(0.575), np.float64(1.15))}",0.48666
